* Measurement data measured by REW V5.20.13
* Source: EQ window target shape
* Format: 
* Dated: Apr 15, 2023 9:00:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: 10dB Tilt Target
* Smoothing: 1/48 octave
* Frequency Step: 1/96 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
7034.642578	1.865
7085.618652	1.802
7136.963867	1.755
7188.681152	1.726
7240.773438	1.718
7293.243164	1.732
7346.092773	1.771
7399.325684	1.834
7452.944336	1.920
7506.951172	2.028
7561.350098	2.155
7616.142578	2.300
7671.332031	2.456
7726.921875	2.621
7782.914551	2.790
7839.312500	2.956
7896.119629	3.118
7953.337891	3.269
8010.971191	3.409
8069.021973	3.533
8127.493164	3.638
8186.388672	3.722
8245.710938	3.783
8305.461914	3.823
8365.647461	3.839
8426.267578	3.830
8487.328125	3.800
8548.831055	3.746
8610.779297	3.673
8673.176758	3.579
8736.026367	3.470
8799.331055	3.346
8863.094727	3.208
8927.320312	3.062
8992.010742	2.908
9057.170898	2.751
9122.802734	2.594
9188.910156	2.437
9255.497070	2.286
9322.566406	2.137
9390.121094	1.995
9458.166016	1.858
9526.704102	1.726
9595.738281	1.596
9665.273438	1.465
9735.311523	1.334
9805.857422	1.198
9876.915039	1.057
9948.487305	0.910
10020.578125	0.753
10093.191406	0.590
10166.331055	0.418
10240.000000	0.241
10314.203125	0.059
10388.944336	-0.123
10464.226562	-0.301
10540.054688	-0.474
10616.432617	-0.636
10693.363281	-0.786
10770.852539	-0.917
10848.902344	-1.028
10927.517578	-1.117
11006.703125	-1.180
11086.461914	-1.220
11166.798828	-1.239
11247.718750	-1.241
11329.223633	-1.228
11411.320312	-1.205
11494.011719	-1.180
11577.301758	-1.152
11661.195312	-1.130
11745.697266	-1.113
11830.811523	-1.106
11916.542969	-1.111
12002.894531	-1.128
12089.873047	-1.159
12177.480469	-1.203
12265.723633	-1.262
12354.606445	-1.333
12444.132812	-1.417
12534.308594	-1.513
12625.136719	-1.619
12716.624023	-1.735
12808.773438	-1.859
12901.591797	-1.991
12995.082031	-2.127
13089.250000	-2.267
13184.099609	-2.411
13279.636719	-2.556
13375.867188	-2.703
13472.793945	-2.849
13570.422852	-2.995
13668.759766	-3.141
13767.809570	-3.285
13867.577148	-3.430
13968.067383	-3.574
14069.285156	-3.717
14171.237305	-3.861
14273.927734	-4.005
14377.362305	-4.150
14481.546875	-4.295
14586.486328	-4.441
14692.185547	-4.588
14798.651367	-4.735
14905.888672	-4.885
15013.902344	-5.035
15122.700195	-5.187
15232.285156	-5.340
15342.664062	-5.494
15453.843750	-5.649
15565.829102	-5.806
15678.625000	-5.964
15792.239258	-6.122
15906.675781	-6.283
16021.942383	-6.443
16138.043945	-6.605
16254.986328	-6.769
16372.777344	-6.933
16491.421875	-7.099
16610.923828	-7.264
16731.294922	-7.431
16852.535156	-7.599
16974.656250	-7.767
17097.662109	-7.937
17221.558594	-8.105
17346.353516	-8.275
17472.052734	-8.442
17598.662109	-8.609
17726.189453	-8.775
17854.640625	-8.937
17984.021484	-9.097
18114.341797	-9.251
18245.605469	-9.398
18377.820312	-9.539
18510.994141	-9.669
18645.132812	-9.789
18780.242188	-9.896
18916.332031	-9.991
19053.408203	-10.069
19191.476562	-10.133
19330.546875	-10.184
19470.623047	-10.223
19611.714844	-10.252
19753.830078	-10.272
19896.974609	-10.289
